,name,builtdate
1954,海韵茗庭,2015年建
1955,君誉江畔,2013年建
1956,仁恒森兰雅苑,2014年建
1957,高科西路2847弄,1995年建
1959,绿地云悦坊,
1960,森兰名轩,2015年建
1969,港驳小区,1985年建
1973,凌兆新村（上浦路565弄）,1995年建
1974,西三里桥路8弄,1988年建
1975,银龙小区,1995年建
1980,凌兆新村（上浦路336弄）,1995年建
1992,东三里桥路170弄,1979年建
1997,中房樱桃苑,2006年建
2000,静安新城（一区）,1998年建
2001,南方新村,1994年建
2002,春申府邸,2007年建
2003,一品漫城（二期）,
2004,昆阳小区,1986年建
2005,古美三村,1995年建
2006,上海阳城,2003年建
2007,名都新城,2002年建
2008,合生城邦三街坊,2008年建
2009,虹桥花苑,2001年建
2010,万源城朗郡,2009年建
